Vibration,Celsius,Humidity,Time
00,22,67,12:05:40 AM
00,22,67,12:05:40 AM
00,22,67,12:05:40 AM
00,22,67,12:05:40 AM
00,22,67,12:05:40 AM
00,22,67,12:05:39 AM
00,22,67,12:05:39 AM
00,22,67,12:05:39 AM
00,22,67,12:05:39 AM
00,22,67,12:05:39 AM
00,22,67,12:05:39 AM
00,22,67,12:05:38 AM
00,22,67,12:05:38 AM
00,22,67,12:05:38 AM
00,22,67,12:05:38 AM
00,22,67,12:05:38 AM
00,22,67,12:05:35 AM
00,22,67,12:05:35 AM
00,22,67,12:05:35 AM
00,22,67,12:05:35 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:34 AM
00,22,67,12:05:33 AM
00,22,67,12:05:33 AM
00,22,67,12:05:33 AM
00,22,67,12:05:33 AM
00,22,67,12:05:33 AM
00,22,67,12:05:33 AM
00,22,67,12:05:32 AM
00,22,67,12:05:32 AM
00,22,67,12:05:32 AM
00,22,67,12:05:32 AM
00,22,67,12:05:32 AM
00,22,67,12:05:32 AM
00,22,67,12:05:31 AM
00,22,67,12:05:31 AM
00,22,67,12:05:31 AM
00,22,67,12:05:31 AM
00,22,67,12:05:31 AM
00,22,67,12:05:31 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:30 AM
00,22,67,12:05:29 AM
00,22,67,12:05:29 AM
00,22,67,12:05:29 AM
00,22,67,12:05:29 AM
00,22,67,12:05:29 AM
00,22,67,12:05:29 AM
00,22,67,12:05:28 AM
00,22,67,12:05:28 AM
00,22,67,12:05:28 AM
00,22,67,12:05:28 AM
00,22,67,12:05:28 AM
00,22,67,12:05:28 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:27 AM
00,22,67,12:05:26 AM
00,22,67,12:05:26 AM
00,22,67,12:05:26 AM
00,22,67,12:05:26 AM
00,22,67,12:05:26 AM
00,22,67,12:05:26 AM
00,22,67,12:05:25 AM
00,22,67,12:05:25 AM
00,22,67,12:05:25 AM
00,22,67,12:05:25 AM
00,22,67,12:05:25 AM
00,22,67,12:05:25 AM
00,22,67,12:05:24 AM
00,22,67,12:05:24 AM
00,22,67,12:05:24 AM
00,22,67,12:05:24 AM
00,22,67,12:05:24 AM
00,22,67,12:05:24 AM
00,22,67,12:05:23 AM
00,22,67,12:05:23 AM
00,22,67,12:05:23 AM
00,22,67,12:05:23 AM
00,22,67,12:05:23 AM
